Actual,Predicted
607.6900024414062,615.0462
597.260009765625,615.854
593.719970703125,611.2031
600.3800048828125,605.5539
603.3099975585938,605.3527
594.9000244140625,609.5474
593.02001953125,609.1945
582.0599975585938,606.13354
588.0,598.8954
583.97998046875,595.49274
587.8200073242188,594.49225
573.7899780273438,596.83905
562.5800170898438,593.728
558.280029296875,584.15814
577.1799926757812,573.9768
584.3099975585938,575.34033
584.97998046875,589.19055
588.5,600.92834
588.5900268554688,603.97815
606.0900268554688,600.66644
610.1900024414062,604.7633
611.0700073242188,612.1899
617.3900146484375,617.2851
628.5999755859375,621.49994
637.4000244140625,628.4477
640.469970703125,635.64545
648.8499755859375,638.43866
