Actual,Predicted
607.6900024414062,607.7884
597.260009765625,609.15295
593.719970703125,600.14594
600.3800048828125,599.1293
603.3099975585938,600.13605
594.9000244140625,609.1702
593.02001953125,596.86664
582.0599975585938,596.5749
588.0,587.9908
583.97998046875,589.5539
587.8200073242188,584.92566
573.7899780273438,589.6804
562.5800170898438,578.4575
558.280029296875,569.5663
577.1799926757812,562.9591
584.3099975585938,578.5168
584.97998046875,583.7656
588.5,589.44446
588.5900268554688,591.6197
606.0900268554688,592.1455
610.1900024414062,603.99194
611.0700073242188,607.27124
617.3900146484375,616.07043
628.5999755859375,622.0444
637.4000244140625,629.0731
640.469970703125,632.1091
648.8499755859375,636.7484
