Actual,Predicted
607.6900024414062,604.83075
597.260009765625,606.1861
593.719970703125,599.2731
600.3800048828125,594.9156
603.3099975585938,599.1247
594.9000244140625,600.38043
593.02001953125,597.46936
582.0599975585938,594.71906
588.0,591.08765
583.97998046875,592.10046
587.8200073242188,590.4938
573.7899780273438,589.2413
562.5800170898438,586.65594
558.280029296875,581.0608
577.1799926757812,579.7909
584.3099975585938,581.2189
584.97998046875,586.4707
588.5,585.94904
588.5900268554688,589.54517
606.0900268554688,592.5572
610.1900024414062,603.09076
611.0700073242188,604.69244
617.3900146484375,606.0011
628.5999755859375,613.5521
637.4000244140625,621.9157
640.469970703125,631.3034
648.8499755859375,633.89594
